Fecha,Lectura Km,Km recorridos,Litros,Precio litro,Precio,Consumo ord.,Consumo real,Precio Km
2019-07-22,15,null,null,null,null,null,null,null
2019-07-23,null,null,null,null,null,null,null,null
2019-07-24,null,null,null,null,null,null,null,null
2019-07-25,null,null,null,null,null,null,null,null
2019-07-26,null,null,null,null,null,null,null,null
2019-07-27,null,null,null,null,null,null,null,null
2019-07-28,null,null,null,null,null,null,null,null
2019-07-29,null,null,null,null,null,null,null,null
2019-07-30,null,null,null,null,null,null,null,null
2019-07-31,null,null,null,null,null,null,null,null
2019-08-01,null,null,null,null,null,null,null,null
2019-08-02,null,null,null,null,null,null,null,null
2019-08-03,null,null,null,null,null,null,null,null
2019-08-04,null,null,null,null,null,null,null,null
2019-08-05,null,null,null,null,null,null,null,null
2019-08-06,null,null,null,null,null,null,null,null
2019-08-07,null,null,null,null,null,null,null,null
2019-08-08,1663,1648,69.70,1.125,78.23,5.2,4.2,0.05
2019-08-09,null,null,null,null,null,null,null,null
2019-08-10,null,null,null,null,null,null,null,null
2019-08-11,null,null,null,null,null,null,null,null
2019-08-12,2134,471,42.06,1.119,47.09,5.2,8.9,0.10
2019-08-13,null,null,null,null,null,null,null,null
2019-08-14,null,null,null,null,null,null,null,null
2019-08-15,null,null,null,null,null,null,null,null
2019-08-16,null,null,null,null,null,null,null,null
2019-08-17,null,null,null,null,null,null,null,null
2019-08-18,null,null,null,null,null,null,null,null
2019-08-19,null,null,null,null,null,null,null,null
2019-08-20,null,null,null,null,null,null,null,null
2019-08-21,null,null,null,null,null,null,null,null
2019-08-22,null,null,null,null,null,null,null,null
2019-08-23,null,null,null,null,null,null,null,null
2019-08-24,null,null,null,null,null,null,null,null
2019-08-25,null,null,null,null,null,null,null,null
2019-08-26,null,null,null,null,null,null,null,null
2019-08-27,null,null,null,null,null,null,null,null
2019-08-28,2972,838,43.91,1.119,49.14,5.1,5.2,0.06
2019-08-29,null,null,null,null,null,null,null,null
2019-08-30,null,null,null,null,null,null,null,null
2019-08-31,null,null,null,null,null,null,null,null
2019-09-01,null,null,null,null,null,null,null,null
2019-09-02,null,null,null,null,null,null,null,null
2019-09-03,null,null,null,null,null,null,null,null
2019-09-04,null,null,null,null,null,null,null,null
2019-09-05,null,null,null,null,null,null,null,null
2019-09-06,null,null,null,null,null,null,null,null
2019-09-07,null,null,null,null,null,null,null,null
2019-09-08,null,null,null,null,null,null,null,null
2019-09-09,3751,779,41.64,1.119,46.60,5.0,5.3,0.06
2019-09-10,null,null,null,null,null,null,null,null
2019-09-11,null,null,null,null,null,null,null,null
2019-09-12,null,null,null,null,null,null,null,null
2019-09-13,null,null,null,null,null,null,null,null
2019-09-14,null,null,null,null,null,null,null,null
2019-09-15,null,null,null,null,null,null,null,null
2019-09-16,null,null,null,null,null,null,null,null
2019-09-17,null,null,null,null,null,null,null,null
2019-09-18,null,null,null,null,null,null,null,null
2019-09-19,null,null,null,null,null,null,null,null
2019-09-20,null,null,null,null,null,null,null,null
2019-09-21,null,null,null,null,null,null,null,null
2019-09-22,null,null,null,null,null,null,null,null
2019-09-23,4535,784,42.21,1.119,47.23,5.1,5.4,0.06
2019-09-24,null,null,null,null,null,null,null,null
2019-09-25,null,null,null,null,null,null,null,null
2019-09-26,null,null,null,null,null,null,null,null
2019-09-27,null,null,null,null,null,null,null,null
2019-09-28,null,null,null,null,null,null,null,null
2019-09-29,null,null,null,null,null,null,null,null
2019-09-30,null,null,null,null,null,null,null,null
2019-10-01,null,null,null,null,null,null,null,null
2019-10-02,null,null,null,null,null,null,null,null
2019-10-03,null,null,null,null,null,null,null,null
2019-10-04,null,null,null,null,null,null,null,null
2019-10-05,null,null,null,null,null,null,null,null
2019-10-06,null,null,null,null,null,null,null,null
2019-10-07,null,null,null,null,null,null,null,null
2019-10-08,null,null,null,null,null,null,null,null
2019-10-09,null,null,null,null,null,null,null,null
2019-10-10,null,null,null,null,null,null,null,null
2019-10-11,null,null,null,null,null,null,null,null
2019-10-12,5558,1023,43.55,1.119,48.73,5.2,4.3,0.05
2019-10-13,null,null,null,null,null,null,null,null
2019-10-14,null,null,null,null,null,null,null,null
2019-10-15,null,null,null,null,null,null,null,null
2019-10-16,null,null,null,null,null,null,null,null
2019-10-17,null,null,null,null,null,null,null,null
2019-10-18,null,null,null,null,null,null,null,null
2019-10-19,null,null,null,null,null,null,null,null
2019-10-20,null,null,null,null,null,null,null,null
2019-10-21,null,null,null,null,null,null,null,null
